description	enabled		min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
magic light plated boots + jewel + rune 05 + perfect ruby -> blood boots	1			100					4	tbt,mag,upg	jew	r05	gpr				usetype,crf	30			lifesteal			1	3	hp			10	20	regen			5	10																																																																					0
magic heavy gloves + jewel + rune 04 + perfect ruby -> blood gloves	1			100					4	vgl,mag,upg	jew	r04	gpr				usetype,crf	30			lifesteal			1	3	hp			10	20	crush			5	10																																																																					0
magic belt + jewel + rune 07 + perfect ruby -> blood belt	1			100					4	mbl,mag,upg	jew	r07	gpr				usetype,crf	37			lifesteal			1	3	hp			10	20	openwounds			5	10																																																																					0
magic spiked shield + jewel + rune 06 + perfect ruby -> blood shield	1			100					4	spk,mag,upg	jew	r06	gpr				usetype,crf	30			lifesteal			1	3	hp			10	20	thorns			4	7																																																																					0
magic plate mail + jewel + rune 10 + perfect ruby -> blood body	1			100					4	plt,mag,upg	jew	r10	gpr				usetype,crf	50			lifesteal			1	3	hp			10	20	demon-heal			1	3																																																																					0
magic amulet + jewel + rune 11 + perfect ruby -> blood amulet	1			100					4	amul,mag	jew	r11	gpr				usetype,crf	50			lifesteal			1	4	hp			10	20	move1			5	10																																																																					0
magic ring + jewel + rune 12 + perfect ruby -> blood ring	1			100					4	ring,mag	jew	r12	gpr				usetype,crf	50			lifesteal			1	3	hp			10	20	str			1	5																																																																					0
magic axe + jewel + rune 09 + perfect ruby -> blood weapon	1			100					4	axe,mag	jew	r09	gpr				usetype,crf	42			lifesteal			1	4	hp			10	20	dmg%			35	60																																																																					0
magic mask + jewel + rune 04 + perfect amethyst -> caster helm	1			100					4	msk,mag,upg	jew	r04	gpv				usetype,crf	30			regen-mana			4	10	mana			10	20	manasteal			1	4																																																																					0
magic boots + jewel + rune 10 + perfect amethyst -> caster boots	1			100					4	lbt,mag,upg	jew	r10	gpv				usetype,crf	50			regen-mana			4	10	mana			10	20	mana%			2	5																																																																					0
magic leather gloves + jewel + rune 09 + perfect amethyst -> caster gloves	1			100					4	lgl,mag,upg	jew	r09	gpv				usetype,crf	42			regen-mana			4	10	mana			10	20	mana-kill			1	3																																																																					0
magic light belt + jewel + rune 06 + perfect amethyst -> caster belt	1			100					4	vbl,mag,upg	jew	r06	gpv				usetype,crf	30			regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
magic small shield + jewel + rune 05 + perfect amethyst -> caster shield	1			100					4	sml,mag,upg	jew	r05	gpv				usetype,crf	30			regen-mana			4	10	mana			10	20	block			5	10																																																																					0
magic light plate + jewel + rune 07 + perfect amethyst -> caster body	1			100					4	ltp,mag,upg	jew	r07	gpv				usetype,crf	37			regen-mana			4	10	mana			10	20	mana-kill			1	3																																																																					0
magic amulet + jewel + rune 08 + perfect amethyst -> caster amulet	1			100					4	amul,mag	jew	r08	gpv				usetype,crf	38			regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
magic ring + jewel + rune 11 + perfect amethyst -> caster ring	1			100					4	ring,mag	jew	r11	gpv				usetype,crf	50			regen-mana			4	10	mana			10	20	enr			1	5																																																																					0
magic rod + jewel + rune 03 + perfect amethyst -> caster weapon	1			100					4	rod,mag	jew	r03	gpv				usetype,crf	30			regen-mana			4	10	mana			10	20	mana%			1	5																																																																					0
magic crown + jewel + rune 06 + perfect emerald -> safety helm	1			100					4	crn,mag,upg	jew	r06	gpg				usetype,crf	30			red-dmg			1	4	red-mag			1	2	res-ltng			5	10	ac%			10	30																																																																0
magic plate boots + jewel + rune 09 + perfect emerald -> safety boots	1			100					4	hbt,mag,upg	jew	r09	gpg				usetype,crf	42			red-dmg			1	4	red-mag			1	2	res-fire			5	10	ac%			10	30																																																																0
magic gauntlets + jewel + rune 08 + perfect emerald -> safety gloves	1			100					4	hgl,mag,upg	jew	r08	gpg				usetype,crf	38			red-dmg			1	4	red-mag			1	2	res-cold			5	10	ac%			10	30																																																																0
magic sash + jewel + rune 07 + perfect emerald -> safety belt	1			100					4	lbl,mag,upg	jew	r07	gpg				usetype,crf	37			red-dmg			1	4	red-mag			1	2	res-pois			5	10	ac%			10	30																																																																0
magic kite shield + jewel + rune 04 + perfect emerald -> safety shield	1			100					4	kit,mag,upg	jew	r04	gpg				usetype,crf	30			red-dmg			1	4	red-mag			1	2	res-mag			5	10	ac%			10	30																																																																0
magic breastplate + jewel + rune 05 + perfect emerald -> safety body	1			100					4	brs,mag,upg	jew	r05	gpg				usetype,crf	30			red-dmg			1	4	red-mag			1	2	half-freeze			1	1	ac%			10	30																																																																0
magic amulet + jewel + rune 10 + perfect emerald -> safety amulet	1			100					4	amul,mag	jew	r10	gpg				usetype,crf	50			red-dmg			1	4	red-mag			1	2	block			1	10																																																																					0
magic ring + jewel + rune 11 + perfect emerald -> safety ring	1			100					4	ring,mag	jew	r11	gpg				usetype,crf	50			red-dmg			1	4	red-mag			1	2	vit			1	5																																																																					0
magic spear + jewel + rune 12 + perfect emerald -> safety weapon	1			100					4	spea,mag	jew	r12	gpg				usetype,crf	50			red-dmg			1	4	red-mag			1	2	ac%			5	10																																																																					0
2 THUL RUNES+ 1 chipped topaz -> 1 AMN 	1			100					3	r10,qty=2	gfy						r11																																																																																							0
2 AMN RUNES + 1 chipped amethyst -> 1 SOL	1			100					3	r11,qty=2	gfv						r12																																																																																							0
2 SOL RUNES + 1 chipped sapphire -> 1 SHAEL	1			100					3	r12,qty=2	gfb						r13																																																																																							0
2 SHAEL RUNES + 1 chipped ruby -> 1 DOL	1			100					3	r13,qty=2	gfr						r14																																																																																							0
2 DOL RUNES + 1 chipped emerald -> 1 HEL	1			100					3	r14,qty=2	gfg						r15																																																																																							0
2 HEL RUNES + 1 chipped diamond -> 1 IO	1			100					3	r15,qty=2	gfw						r16																																																																																							0
2 IO RUNES + 1 flawed gem -> 1 LUM 	1			100					3	r16,qty=2	gem1						r17																																																																																							0
2 LUM RUNES + 1 flawed gem -> 1 KO	1			100					3	r17,qty=2	gem1						r18																																																																																							0
2 KO RUNES + 1 flawed gem -> 1 FAL	1			100					3	r18,qty=2	gem1						r19																																																																																							0
2 FAL RUNES + 1 flawed gem -> 1 LEM	1			100					3	r19,qty=2	gem1						r20																																																																																							0
2 LEM RUNES + 1 flawed gem-> 1 PUL	1			100					3	r20,qty=2	gem1						r21																																																																																							0
2 PUL RUNES + 1 flawed gem -> 1 UM	1			100					3	r21,qty=2	gem1						r22																																																																																							0
2 UM RUNES + 1 standard gem -> 1 MAL	1			100					3	r22,qty=2	gem2						r23																																																																																							0
2 MAL RUNES + 1 standard gem-> 1 IST	1			100					3	r23,qty=2	gem2						r24																																																																																							0
2 IST RUNES + 1 standard gem-> 1 GUL	1			100					3	r24,qty=2	gem2						r25																																																																																							0
2 GUL RUNES + 1 standard gem -> 1 VEX	1			100					3	r25,qty=2	gem2						r26																																																																																							0
2 VEX RUNES + 1 standard gem -> 1 OHM	1			100					3	r26,qty=2	gem2						r27																																																																																							0
2 OHM RUNES + 1 standard gem -> 1 LO	1			100					3	r27,qty=2	gem2						r28																																																																																							0
2 LO RUNES + 1 flawless topaz -> 1 SUR	1			100					3	r28,qty=2	gsy						r29																																																																																							0
2 SUR RUNES+ 1 flawless amethyst -> 1 BER	1			100					3	r29,qty=2	gsv						r30																																																																																							0
2 BER RUNES + 1 flawless sapphire -> 1 JAH	1			100					3	r30,qty=2	gsb						r31																																																																																							0
2 JAH RUNES + 1 flawless ruby -> 1 CHAM	1			100					3	r31,qty=2	gsr						r32																																																																																							0
3 CHAM RUNES + 1 flawless emerald -> 1 ZOD	1			100					4	r32,qty=3	gsg						r33																																																																																							0
1 Potion of Rejuvenation + low QUALITY weapon  -> superior normal weapon	1			100					2	weap,low	rvs						useitem,hiq	50																																																																																						0
2 Potion of Rejuvenation + Weapon + 3 Jewels -> Normal Basic Recharged Repaired Weapon	1			100					6	weap	"rvs,qty=2"	jew,qty=3					"usetype,nor,rep,rch,qty=255"																																																																																							0
1 Potion of Rejuvenation + Low QUALITY Weapon -> Normal Armor	1			100					2	armo,low	rvs						usetype,hiq	42																																																																																						0
3 Potion of Rejuvenation + Armor + 2 Jewels -> Normal Basic Recharged Repaired Armor	1			100					6	armo	"rvs,qty=3"	jew,qty=2					usetype,nor																																																																																							0
ELD + Weapon -> Repaired Weapon	1			100					2	weap,noe	r02						"useitem,rep,qty=255"																																																																																							0
TIR + Armor -> Repaired Armor	1			100					2	armo,noe	r03						"useitem,rep,qty=255"																																																																																							0
TAL + RAL + Any Item -> Repair + Recharge (Should work on ALL items -The Power of TALRAL)	1			100					3	any	r07	r08					"useitem,rep,rch,qty=255"																																																																																							0
1 Perfect gem + superior armor -> tempered armor (no magical properties)	1			100					2	"armo,hiq,nos"	gem4						"useitem,tmp"																																																																																							0
1 Perfect gem + superior weapon -> tempered weapon (no magical properties)	1			100					2	"weap,hiq,nos"	gem4						"useitem,tmp"																																																																																							0
1 Perfect gem + magic ring -> tempered ring (no magical properties)	1			100					2	"ring,mag"	gem4						"usetype,tmp"				levelreq			3	3																																																																															0
1 Perfect gem + magic amulet -> tempered amulet (no magical properties)	1			100					2	"amu,mag"	gem4						"usetype,tmp"				levelreq			5	5																																																																															0
2 Perfect skull + tempered weapon -> Uber Tyriel's Fist (increasingly powerful)	1			100					2	"weap,tmp"	skz,qty=2						useitem									aura		122	2	2	dmg			25	50	crush			4	7	deadly			7	11																																																											0
Pandemonium key	1			100	28				3	pk1	pk2	pk3					Pandemonium Portal																																																																																							0
Pandemonium Finale key	1			100	28				3	dhn	bey	mbr					Pandemonium Finale Portal																																																																																							0
Token of Absolution	1			100					4	tes	ceh	bet	fed				toa																																																																																							0
1 ELD Rune -> 2 EL Runes	1			100					1	r02,qty=1							r01																													r01																																																										0
1 TIR Rune -> 2 ELD Runes	1			100					1	r03,qty=1							r02																													r02																																																										0
1 NEF Rune -> 2 TIR Runes	1			100					1	r04,qty=1							r03																													r03																																																										0
1 ETH Rune -> 2 NEF Runes	1			100					1	r05,qty=1							r04																													r04																																																										0
1 ITH Rune -> 2 ETH Runes	1			100					1	r06,qty=1							r05																													r05																																																										0
1 TAL Rune -> 2 ITH Runes	1			100					1	r07,qty=1							r06																													r06																																																										0
1 RAL Rune -> 2 TAL Runes	1			100					1	r08,qty=1							r07																													r07																																																										0
1 ORT Rune -> 2 RAL Runes	1			100					1	r09,qty=1							r08																													r08																																																										0
1 THUL Rune -> 2 ORT Runes	1			100					1	r10,qty=1							r09																													r09																																																										0
1 AMN Rune -> 2 THUL Runes	1			100					1	r11,qty=1							r10																													r10																																																										0
1 SOL Rune -> 2 AMN Runes	1			100					1	r12,qty=1							r11																													r11																																																										0
1 SHAEL Rune -> 2 SOL Runes	1			100					1	r13,qty=1							r12																													r12																																																										0
1 DOL Rune -> 2 SHAEL Runes	1			100					1	r14,qty=1							r13																													r13																																																										0
1 HEL Rune -> 2 DOL Runes	1			100					1	r15,qty=1							r14																													r14																																																										0
1 IO Rune -> 2 HEL Runes	1			100					1	r16,qty=1							r15																													r15																																																										0
1 LUM Rune -> 2 IO Runes	1			100					1	r17,qty=1							r16																													r16																																																										0
1 KO Rune  + 2 PERFECT GEMS -> 2 LUM Runes	1			100					3	r18,qty=1	"gem4,qty=2"						r17																													r17																																																										0
1 FALRune  + 2 PERFECT GEMS -> 2 KO Runes	1			100					3	r19,qty=1	"gem4,qty=2"						r18																													r18																																																										0
1 LEM Rune  + 2 PERFECT GEMS -> 2 FAL Runes	1			100					3	r20,qty=1	"gem4,qty=2"						r19																													r19																																																										0
1 PUL Rune  + 2 PERFECT GEMS -> 2 LEM Runes	1			100					3	r21,qty=1	"gem4,qty=2"						r20																													r20																																																										0
1 UM Rune  + 2 PERFECT GEMS -> 2 PUL Runes	1			100					3	r22,qty=1	"gem4,qty=2"						r21																													r21																																																										0
1 MAL Rune  + 2 PERFECT GEMS -> 2 UMRunes	1			100					3	r23,qty=1	"gem4,qty=2"						r22																													r22																																																										0
1 IST Rune  + 2 PERFECT GEMS -> 2 MAL Runes	1			100					3	r24,qty=1	"gem4,qty=2"						r23																													r23																																																										0
1 GUL Rune  + 2 PERFECT GEMS -> 2 IST Runes	1			100					3	r25,qty=1	"gem4,qty=2"						r24																													r24																																																										0
1 VEX Rune  + 2 PERFECT GEMS -> 2 GULRunes	1			100					3	r26,qty=1	"gem4,qty=2"						r25																													r25																																																										0
1 OHM Rune  + 2 PERFECT GEMS -> 2 VEX Runes	1			100					3	r27,qty=1	"gem4,qty=2"						r26																													r26																																																										0
1 LO Rune  + 2 PERFECT GEMS -> 2 OHM Runes	1			100					3	r28,qty=1	"gem4,qty=2"						r27																													r27																																																										0
1 SUR Rune  + 2 PERFECT GEMS -> 2 LO Runes	1			100					3	r29,qty=1	"gem4,qty=2"						r28																													r28																																																										0
1 BER Rune  + 2 PERFECT SKULLS -> 2 SUR Runes	1			100					3	r30,qty=1	"skz,qty=2"						r29																													r29																																																										0
1 JAH Rune  + 2 PERFECT SKULLS -> 2 BER Runes	1			100					3	r31,qty=1	"skz,qty=2"						r30																													r30																																																										0
1 CHAM Rune  + 2 PERFECT SKULLS -> 2 JAH Runes	1			100					3	r32,qty=1	"skz,qty=2"						r31																													r31																																																										0
1 ZOD Rune  -> 3 CHAM Runes	1			100					1	r33,qty=1							r32																													r32																													r32																													0
1 Flawed amethyst -> 2 chipped amethysts	1			0					1	gfv							gcv																													gcv																													gcv																													0
1 Standard amethyst -> 2 flawed amethysts	1			0					1	gsv							gfv																													gfv																													gfv																													0
1 Flawless amethyst -> 2 standard amethysts	1			0					1	gzv							gsv																													gsv																													gsv																													0
1 Perfect amethyst -> 2 flawless amethysts	1			0					1	gpv							gzv																													gzv																													gzv																													0
1 Flawed ruby -> 2 chipped rubies	1			0					1	gfr							gcr																													gcr																													gcr																													0
1 Standard ruby -> 2 flawed rubies	1			0					1	gsr							gfr																													gfr																													gfr																													0
1 Flawless ruby -> 2 standard rubies	1			0					1	glr							gsr																													gsr																													gsr																													0
1 Perfect ruby -> 2 flawless rubies	1			0					1	gpr							glr																													glr																													glr																													0
1 Flawed sapphire -> 2 chipped sapphires	1			0					1	gfb							gcb																													gcb																													gcb																													0
1 Standard sapphire -> 2 flawed sapphires	1			0					1	gsb							gfb																													gfb																													gfb																													0
1 Flawless sapphire-> 2 standard sapphires	1			0					1	glb							gsb																													gsb																													gsb																													0
1 Perfect sapphire -> 2 flawless sapphires	1			0					1	gpb							glb																													glb																													glb																													0
1 Flawed topaz -> 2 chipped topazes	1			0					1	gfy							gcy																													gcy																													gcy																													0
1 Standard topaz -> 2 flawed topazes	1			0					1	gsy							gfy																													gfy																													gfy																													0
1 Flawless topaz ->2 standard topazes	1			0					1	gly							gsy																													gsy																													gsy																													0
1 Perfect topaz -> 2 flawless topazes	1			0					1	gpy							gly																													gly																													gly																													0
1 Flawed emerald -> 2 chipped emeralds	1			0					1	gfg							gcg																													gcg																													gcg																													0
1 Standard emerald -> 2 flawed emeralds	1			0					1	gsg							gfg																													gfg																													gfg																													0
1 Flawless emerald -> 2 standard emeralds	1			0					1	glg							gsg																													gsg																													gsg																													0
1 Perfect emerald -> 2 flawless emeralds	1			0					1	gpg							glg																													glg																													glg																													0
1 Flawed diamond -> 2 chipped diamonds	1			0					1	gfw							gcw																													gcw																													gcw																													0
1 Standard diamond -> 2 flawed diamonds	1			0					1	gsw							gfw																													gfw																													gfw																													0
1 Flawless diamond -> 2 standard diamonds	1			0					1	glw							gsw																													gsw																													gsw																													0
1 Perfect diamond -> 2 flawless diamonds	1			0					1	gpw							glw																													glw																													glw																													0
1 Flawed skull -> 2 chipped skulls	1			0					1	skf							skc																													skc																													skc																													0
1 Standard skull -> 2 flawed skulls	1			0					1	sku							skf																													skf																													skf																													0
1 Flawless skull -> 2 standard skulls	1			0					1	skl							sku																													sku																													sku																													0
1 Perfect skull -> 3 flawless skulls	1			0					1	skz							skl																													skl																													skl																													0
2 Rare rings -> 1 Rare Amulet	1			0					2	"rin,rar,qty=2"							amu,rar	60																																																																																						0
2 Rare Amulets ->1 Rare Ring	1			0					2	"amu,rar,qty=2"							rin,rar	60																																																																																						0
2 Magic jewels -> 1 Rare Jewel	1			100					2	"jew,mag,qty=2"							jew,rar	8																																																																																						0
2 Small charms -> 1 Medium Charm	1			100					2	"scha,mag,qty=2"							cm2			99																																																																																				0
2 Medium charms -> 1 Grand Charm	1			100					2	"mcha,mag,qty=2"							cm3			99																																																																																				0
1 Grand charm -> 1 Small Charm	1			100					1	lcha							cm1			99																																																																																				0
1 Boot + 8 stamina potion -> same boots +20% walk/run speed (Hey Hey)	1			0					9	boot	"vps,qty=8"						useitem				move1			20	20																																																																															0
1 Charm + 12  Books of Town Portal -> same charm (+1 teleport)	1			100					13	char	"tbk,qty=12"						useitem,rch,qty=255				charged		54	255	1																																																																															0
1 Charm + 1 Dagger + 20 Stamina potions -> Same Charm [+1 iron golem, +1 golem mastery)	1			100					22	char	knif	"vps,qty=20"					useitem				oskill		90	1	1	oskill		79	1	1																																																																										0
1 Set Armor + 1 Normal gem  -> Max Socketed Set Armor (Ehereal Comp)	1			0					2	"armo,set"	gem2,qty=1						useitem,sock=6																																																																																							0
1 Set Weapon+ 1 Normal gem -> Max Socketed Set Armor (Ehereal Comp)	1			0					2	"weap,set"	gem2,qty=1						useitem,sock=6																																																																																							0
